Year,District,River,Station,Stage,Item,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar
1979-80,Bagerhat,Alaipur-Daratana,Bagerhat,LWS,Max,16000,6900,4800,,,,925,1100,2950,5600,10000,
1979-80,Bagerhat,Alaipur-Daratana,Bagerhat,LWS,Mean,9977,4525,3983,,,,703,615,1940,3885,7632,
1979-80,Bagerhat,Alaipur-Daratana,Bagerhat,LWS,Min,3200,3500,3400,,,,530,750,1200,2800,5200,
1976-77,Satkhira,Ichamati,Satkhira,HWS,Max,,,,,,,,,,11500,16300,30000
1976-77,Satkhira,Ichamati,Satkhira,HWS,Mean,,,,,,,,,,10407,13100,19493
1976-77,Satkhira,Ichamati,Satkhira,HWS,Min,,,,,,,,,,9000,8600,9000
1976-77,Satkhira,Ichamati,Satkhira,LWS,Max,,,,,,,,,,11200,15500,30000
1976-77,Satkhira,Ichamati,Satkhira,LWS,Mean,,,,,,,,,,7980,12780,17274
1976-77,Satkhira,Ichamati,Satkhira,LWS,Min,,,,,,,,,,5900,7000,10000
1977-78,Satkhira,Ichamati,Satkhira,HWS,Max,27500,33000,31500,675,700,,675,,,,,9700
1977-78,Satkhira,Ichamati,Satkhira,HWS,Mean,20743,27161,17348,657,700,,647,,,,,9050
1977-78,Satkhira,Ichamati,Satkhira,HWS,Min,15600,18000,950,640,700,,620,,,,,7800
1977-78,Satkhira,Ichamati,Satkhira,LWS,Max,33000,33000,32500,900,720,,600,,,,,9900
1977-78,Satkhira,Ichamati,Satkhira,LWS,Mean,21133,26908,15907,820,697,,600,,,,,9625
1977-78,Satkhira,Ichamati,Satkhira,LWS,Min,16200,17600,850,740,675,,600,,,,,9300
1978-79,Satkhira,Ichamati,Satkhira,HWS,Max,24000,26000,,,,,,,,,,
1978-79,Satkhira,Ichamati,Satkhira,HWS,Mean,21700,24625,,,,,,,,,,
1978-79,Satkhira,Ichamati,Satkhira,HWS,Min,19000,23500,,,,,,,,,,
1978-79,Satkhira,Ichamati,Satkhira,LWS,Max,23000,25000,,,,,,,,,,
1978-79,Satkhira,Ichamati,Satkhira,LWS,Mean,20200,23250,,,,,,,,,,
1978-79,Satkhira,Ichamati,Satkhira,LWS,Min,18000,22000,,,,,,,,,,
1979-80,Satkhira,Ichamati,Satkhira,HWS,Max,8000,8000,,,,,17000,,,,,
1979-80,Satkhira,Ichamati,Satkhira,HWS,Mean,7667,8000,,,,,15125,,,,,
1979-80,Satkhira,Ichamati,Satkhira,HWS,Min,7000,8000,,,,,12000,,,,,
1979-80,Satkhira,Ichamati,Satkhira,LWS,Max,8000,8000,,,,,15000,,,,,
1979-80,Satkhira,Ichamati,Satkhira,LWS,Mean,7667,7250,,,,,13875,,,,,
1979-80,Satkhira,Ichamati,Satkhira,LWS,Min,7000,5000,,,,,11000,,,,,
